So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH
03000235,4.00,4.50,,,,,,3.50,6.50,,
03000236,7.20,6.75,8.40,,,,,8.00,7.25,9.00,8.08
03000237,3.60,4.50,,,,,,2.75,4.75,,
03000238,5.20,6.25,3.60,,,,,4.25,5.00,7.25,5.50
03000239,4.00,4.25,,,,,,8.50,,,
03000240,7.00,5.25,5.00,6.00,6.50,4.25,5.58,,,,
03000241,7.60,6.75,4.80,,,,,6.25,6.50,8.75,7.17
03000242,7.60,7.00,4.20,5.75,5.75,5.75,5.75,,,,
03000243,6.40,4.75,5.20,,,,,4.00,4.75,8.25,5.67
03000244,4.00,4.25,,,,,,3.75,5.25,,
03000245,6.60,5.75,3.60,,,,,4.25,7.00,8.75,6.67
03000246,3.80,5.75,3.60,,,,,3.50,6.00,8.00,5.83
03000247,5.40,6.50,,,,,,5.00,5.25,,
03000248,4.80,4.50,,,,,,2.00,4.50,,
03000249,7.60,5.25,4.40,5.50,6.25,4.00,5.25,,,,
03000250,7.60,5.25,5.80,,,,,4.50,7.50,8.75,6.92
03000251,6.20,5.75,7.40,,,,,5.00,6.50,8.00,6.50
03000252,4.80,3.00,,,,,,1.25,4.50,,
03000253,7.80,5.00,5.00,7.00,7.25,4.00,6.08,,,,
03000254,5.80,5.75,4.00,,,,,4.00,6.00,8.00,6.00
03000255,4.60,2.50,,,,,,3.00,4.50,,
03000256,2.60,,2.40,2.00,,,,,,,
03000257,7.20,6.25,5.40,,,,,4.00,6.75,8.25,6.33
03000258,4.40,6.50,4.60,,,,,5.75,6.25,9.00,7.00
03000259,7.00,6.75,8.20,,,,,7.50,7.50,8.75,7.92
03000260,7.80,5.25,5.60,5.75,3.75,4.75,4.75,,,,
03000261,7.00,6.75,7.60,7.00,4.25,5.25,5.50,,,,
03000262,6.40,6.25,6.20,,,,,6.25,7.50,9.00,7.58
03000263,6.00,5.00,,,,,,3.75,5.75,,
03000264,6.60,5.25,3.00,4.00,4.75,5.00,4.58,,,,
03000265,5.20,5.00,4.00,,,,,3.00,6.50,7.25,5.58
03000266,5.60,2.25,,,,,,3.50,6.00,,
03000267,7.80,6.50,4.80,6.50,6.00,5.00,5.83,,,,
03000268,7.80,6.50,6.60,6.75,5.25,4.25,5.42,,,,
03000269,5.00,6.25,5.40,,,,,4.50,7.25,8.25,6.67
03000270,8.20,5.50,4.40,7.00,6.75,3.50,5.75,,,,
03000271,2.80,5.25,,,,,,2.00,5.00,,
03000272,7.60,7.00,5.40,,,,,5.75,7.25,9.25,7.42
03000273,7.20,6.00,4.40,,,,,5.00,7.75,8.50,7.08
03000274,6.00,7.00,8.40,,,,,6.75,6.25,9.25,7.42
03000275,8.40,5.75,8.40,7.50,5.25,5.25,6.00,,,,
03000276,4.40,6.75,4.80,,,,,4.50,6.00,8.50,6.33
03000277,6.00,6.75,7.60,,,,,5.50,5.75,9.00,6.75
03000278,4.40,2.50,,,,,,3.50,6.50,,
03000279,6.40,4.00,3.40,,,,,4.75,6.00,8.25,6.33
03000280,4.80,2.75,,,,,,3.25,6.00,,
03000281,5.60,2.25,,,,,,2.75,4.50,,
03000282,6.80,6.75,7.00,,,,,6.25,6.00,8.00,6.75
03000283,5.60,6.00,4.20,,,,,3.50,6.00,8.25,5.92
03000284,6.80,5.00,3.20,4.00,5.00,4.00,4.33,,,,
03000285,5.80,,3.20,4.25,,,,,,,
03000286,4.40,2.25,,,,,,3.00,3.25,,
03000287,5.80,6.25,4.60,,,,,3.50,5.25,7.25,5.33
03000288,6.60,5.25,7.60,,,,,4.50,7.00,8.75,6.75
03000289,8.40,6.25,5.80,6.75,7.50,5.00,6.42,,,,
03000290,4.20,4.00,,,,,,3.25,5.75,,
03000291,7.20,6.75,6.80,,,,,5.25,6.25,9.25,6.92
03000292,6.60,5.50,3.40,6.25,6.00,3.25,5.17,,,,
03000293,7.80,5.25,4.40,6.75,6.75,4.25,5.92,,,,
03000294,7.60,6.25,4.60,7.75,2.75,3.75,4.75,,,,
03000295,3.20,2.25,,,,,,3.00,4.50,,
03000296,5.20,5.00,,,,,,1.75,7.75,,
03000297,5.60,6.50,7.00,,,,,4.50,8.00,8.75,7.08
03000298,4.60,6.00,2.80,,,,,2.25,5.50,8.25,5.33
03000299,7.60,5.50,3.80,6.25,6.75,4.75,5.92,,,,
03000300,6.80,6.50,5.60,5.75,4.25,3.50,4.50,,,,
03000301,7.40,7.50,7.20,,,,,5.25,6.00,8.75,6.67
03000302,3.60,2.00,,,,,,4.00,5.00,,
03000303,8.00,7.00,6.20,,,,,4.75,5.75,9.00,6.50
03000304,7.40,7.75,7.60,,,,,5.75,5.75,7.75,6.42
03000305,8.40,7.50,7.80,,,,,3.50,6.50,8.75,6.25
03000306,4.00,3.50,,,,,,3.25,5.25,,
03000307,6.20,6.50,5.40,,,,,3.75,6.25,8.75,6.25
03000308,5.20,6.25,4.00,,,,,4.50,6.25,8.25,6.33
03000309,6.40,6.50,6.00,,,,,4.75,6.25,8.00,6.33
03000310,7.80,7.00,5.20,7.25,7.25,5.25,6.58,,,,
03000311,4.40,6.50,5.00,,,,,6.25,7.25,8.75,7.42
03000312,7.40,6.25,2.40,5.75,6.50,4.50,5.58,,,,
03000313,7.20,6.25,,,,,,5.50,7.00,9.00,7.17
03000314,4.20,5.00,2.60,,,,,3.75,4.25,4.50,4.17
03000315,8.40,7.00,6.00,6.00,6.50,4.50,5.67,,,,
03000316,6.00,5.25,3.20,,,,,6.00,6.75,8.00,6.92
03000317,8.80,7.25,9.00,,,,,,,,
03000318,7.80,5.75,6.00,6.00,6.75,4.50,5.75,,,,
03000319,2.40,4.75,,,,,,2.50,3.00,,
03000320,8.00,5.25,3.20,7.00,6.75,4.50,6.08,,,,
03000321,5.00,5.00,,,,,,2.25,5.75,,
03000322,7.20,6.25,4.00,,,,,3.75,7.00,8.00,6.25
03000323,5.20,3.75,,,,,,2.00,4.50,,
03000324,7.60,,,7.75,7.00,,,,,,
03000325,7.40,4.00,6.80,7.25,6.00,5.00,6.08,,,,
03000326,6.60,,,,5.75,6.00,,,,,
03000327,7.20,6.00,4.80,6.25,6.75,4.50,5.83,,,,
03000328,8.80,6.50,7.80,,,,,6.25,6.00,8.00,6.75
03000329,7.60,7.00,5.20,,,,,4.00,6.75,8.50,6.42
